ecosystem,packageName,name,displayName,description,recipeCount,category1,category2,category3,category1Description,category2Description,category3Description,options,dataTables
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.MigrateStrutsDtd,Migrate DTD to a specific Struts version,Update Struts DTD to reflect the specified version.,1,,Struts,Java,,,Basic building blocks for transforming Java code.,"[{""name"":""strutsVersion"",""type"":""String"",""displayName"":""Struts version"",""description"":""The Struts version to migrate to."",""example"":""6.0"",""valid"":[""2.3"",""2.5"",""6.0""],""required"":true}]",
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateDateTagFormat,Migrate Struts date tag format patterns,"Converts SimpleDateFormat patterns in `<s:date>` tags to DateTimeFormatter-compatible patterns. Struts 6.0 uses DateTimeFormatter instead of SimpleDateFormat, which has different pattern letter meanings.",1,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateDynamicMethodInvocation,Migrate Dynamic Method Invocation to explicit action mappings,"Identifies Struts configurations using Dynamic Method Invocation (DMI) and marks them for migration, as DMI is disabled by default in Struts 6 for security reasons.",1,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateInterceptorDisabledParam,Migrate validation.excludeMethods to validation.disabled,Rename the `validation.excludeMethods` interceptor param to `validation.disabled` for Struts 6 compatibility.,1,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateTilesListener,Migrate TilesListener to StrutsTilesListener,Update `org.apache.tiles.web.startup.TilesListener` to `org.apache.struts2.tiles.StrutsTilesListener` in web.xml for Struts 6 compatibility.,1,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateValidatorDtd,Migrate xwork-validator DTD to 1.0.4,Update xwork-validator DTD from 1.0.3 to 1.0.4 for Struts 6 compatibility.,1,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateStaticOgnlMethodAccess,Migrate static OGNL method access to action wrapper methods,"Migrates OGNL expressions using static method access (e.g., `@com.app.Util@makeCode()`) to use action wrapper methods instead. Static method access is disabled by default in Struts 6 for security reasons.",1,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.java.struts.table.StaticOgnlMethodAccess"",""displayName"":""Static OGNL method access"",""description"":""Locations where OGNL expressions use static method access, which is disabled by default in Struts 6."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The source file containing the OGNL expression.""},{""name"":""expression"",""type"":""String"",""displayName"":""OGNL expression"",""description"":""The full OGNL expression containing the static method access.""},{""name"":""staticClass"",""type"":""String"",""displayName"":""Static class"",""description"":""The fully qualified class name being accessed statically.""},{""name"":""staticMethod"",""type"":""String"",""displayName"":""Static method"",""description"":""The static method being called.""}]}]"
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateStruts6,Migrate to Struts 6.0,Migrate Struts 2.x to Struts 6.0.,127,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,"[{""name"":""org.openrewrite.java.struts.table.StaticOgnlMethodAccess"",""displayName"":""Static OGNL method access"",""description"":""Locations where OGNL expressions use static method access, which is disabled by default in Struts 6."",""columns"":[{""name"":""sourceFile"",""type"":""String"",""displayName"":""Source file"",""description"":""The source file containing the OGNL expression.""},{""name"":""expression"",""type"":""String"",""displayName"":""OGNL expression"",""description"":""The full OGNL expression containing the static method access.""},{""name"":""staticClass"",""type"":""String"",""displayName"":""Static class"",""description"":""The fully qualified class name being accessed statically.""},{""name"":""staticMethod"",""type"":""String"",""displayName"":""Static method"",""description"":""The static method being called.""}]}]"
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.UpgradeStruts6Dependencies,Upgrade Struts 6.0 dependencies,Upgrade Struts 2.x dependencies to Struts 6.0.,7,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
maven,org.openrewrite.recipe:rewrite-struts,org.openrewrite.java.struts.migrate6.MigrateStruts6Constants,Migrate to Struts 6.0 constants,"All Xwork constants had been already deprecated, with this version all of them have been removed and Struts constants have been used instead.",49,Struts 6.0,Struts,Java,Migrate to Struts 6.0. The full migration guide can be found [here](https://cwiki.apache.org/confluence/display/WW/Struts+2.5+to+6.0.0+migration#Struts2.5to6.0.0migration-Staticmethodsaccess).,,Basic building blocks for transforming Java code.,,
